reward/reward_mean;reward/reward_max;reward/reward_min;reward/reward_std;loss/bellman_error;misc/q;misc/q_est;misc/epsilon;misc/timestep
15.59375;41.0;8.0;7.955053589019163;0.060608739550574685;1.2269043874740602;1.0565458986759186;0.19730000000000564;1500
11.295454545454545;22.0;9.0;2.6421370951848937;0.04792952320445329;2.183465313434601;2.13949529337883;0.1964000000000075;2000
11.295454545454545;21.0;8.0;2.408125878755902;0.08969050950743258;3.0498603410720824;3.056470474243164;0.1955000000000094;2500
21.347826086956523;39.0;10.0;9.747279199645469;0.11399331271462143;3.8229704422950745;3.8640739498138426;0.19460000000001126;3000
36.76923076923077;69.0;14.0;15.792665513575239;0.14440510839177295;4.663288591384887;4.740913841247559;0.19370000000001314;3500
62.125;109.0;37.0;20.907160854597162;0.16999010379915125;5.4950626821517945;5.6048566932678225;0.19280000000001501;4000
65.0;85.0;49.0;12.409673645990857;0.19049079532548785;6.3861692409515385;6.519913190841675;0.1919000000000169;4500
73.5;106.0;39.0;20.336748347101445;0.1997133322111331;7.347668855667115;7.494818124771118;0.19100000000001877;5000
92.66666666666667;131.0;58.0;27.13341523329163;0.21288220880227163;8.255554998397827;8.419582628250122;0.19010000000002064;5500
87.4;137.0;67.0;25.570295266187287;0.2268093786458485;9.236474002838134;9.418859006881714;0.18920000000002252;6000
100.0;127.0;77.0;17.618172436436193;0.2501864326922223;10.139961853027344;10.347548641204835;0.1883000000000244;6500
108.6;180.0;80.0;36.510820313983636;0.24364499403908849;11.0175242729187;11.222171005249024;0.18740000000002627;7000
59.44444444444444;81.0;41.0;12.650086614645161;0.2593621050633956;11.915875537872314;12.134398099899292;0.18650000000002814;7500
96.4;134.0;61.0;30.819474362811572;0.2909408532087691;12.864831550598144;13.116077894210816;0.18560000000003002;8000
86.83333333333333;219.0;49.0;59.440212725804486;0.29215112316212616;13.799620105743408;14.05214009475708;0.1847000000000319;8500
68.28571428571429;113.0;52.0;19.818564786686284;0.3116071126146708;14.72146702194214;14.99558081817627;0.18380000000003377;9000
61.375;83.0;43.0;13.828751751333161;0.3090523975642864;15.593961305618286;15.86547675704956;0.18290000000003565;9500
76.14285714285714;112.0;52.0;16.99939974930688;0.3333955379216932;16.532968116760255;16.82911990737915;0.18200000000003752;10000
57.25;72.0;44.0;9.297176990893526;0.34120185557054356;17.340079818725584;17.6439941444397;0.1811000000000394;10500
64.0;88.0;35.0;14.212670403551895;0.3562650305153802;18.182289409637452;18.50129117965698;0.18020000000004127;11000
81.83333333333333;109.0;53.0;21.690371647858466;0.38144497339148076;19.046193046569826;19.390189151763916;0.17930000000004315;11500
69.14285714285714;84.0;43.0;12.72150677765325;0.3531980601674877;19.942209678649903;20.259120349884032;0.17840000000004502;12000
83.83333333333333;110.0;73.0;12.116334245783893;0.3694920263690874;20.784755321502686;21.119444442749025;0.1775000000000469;12500
76.57142857142857;96.0;63.0;10.926470386270253;0.38214356259210036;21.575309024810792;21.922451446533202;0.17660000000004877;13000
74.42857142857143;103.0;65.0;12.670067570652416;0.42663499715412034;22.348794715881347;22.738263637542726;0.17570000000005065;13500
107.5;226.0;34.0;71.73736822605078;0.4269393435874954;23.12201111602783;23.512974739074707;0.17480000000005252;14000
77.0;83.0;72.0;3.958114029012639;0.4460541059626266;23.87349934387207;24.283880725860595;0.1739000000000544;14500
100.33333333333333;152.0;72.0;29.266970385667793;0.4517174695315771;24.64635524749756;25.063363697052;0.17300000000005628;15000
113.0;138.0;75.0;26.636441203734407;0.4220429065837525;25.432651279449463;25.823186710357668;0.17210000000005815;15500
120.75;150.0;97.0;19.149086140074676;0.41983999382751064;26.157523536682127;26.54627995300293;0.17120000000006003;16000
101.8;148.0;82.0;24.05327420539665;0.4061525231357664;26.95305978012085;27.33085631561279;0.1703000000000619;16500
132.25;185.0;89.0;34.28829975370607;0.46721009821631015;27.52003115081787;27.958367572784425;0.16940000000006378;17000
151.0;261.0;88.0;78.05553578489271;0.46079687946243214;28.28250093460083;28.715022285461426;0.16850000000006565;17500
230.5;314.0;147.0;83.5;0.47943964893720115;28.95667636489868;29.408833042144774;0.16760000000006753;18000
263.0;327.0;199.0;64.0;0.5274250012608245;29.57927731704712;30.07931367492676;0.1667000000000694;18500
500.0;500.0;500.0;0.0;0.4745224875365384;30.32137809371948;30.770075695037843;0.16580000000007128;19000
500.0;500.0;500.0;0.0;0.45065946885477753;31.073274181365967;31.499413608551027;0.16490000000007315;19500
500.0;500.0;500.0;0.0;0.42097881528246217;31.802110237121582;32.2003350944519;0.16400000000007503;20000
339.0;339.0;339.0;0.0;0.47891509368200785;32.38189019012451;32.837697185516355;0.1631000000000769;20500
500.0;500.0;500.0;0.0;0.47548107970878484;33.04116898727417;33.494001247406004;0.16220000000007878;21000
500.0;500.0;500.0;0.0;0.4386585858508479;33.679214614868165;34.094938888549805;0.16130000000008066;21500
500.0;500.0;500.0;0.0;0.4545866876710206;34.34288943862915;34.775347930908204;0.16040000000008253;22000
500.0;500.0;500.0;0.0;0.3878811064129695;35.09062288665771;35.45865795135498;0.1595000000000844;22500
500.0;500.0;500.0;0.0;0.5087339097657241;35.57408377456665;36.05923993682861;0.15860000000008628;23000
500.0;500.0;500.0;0.0;0.5013360227276571;36.14425349426269;36.62126161956787;0.15770000000008816;23500
500.0;500.0;500.0;0.0;0.42328986041946337;36.909144889831545;37.31118849182129;0.15680000000009003;24000
500.0;500.0;500.0;0.0;0.4299577485541813;37.48004990005493;37.88821762084961;0.1559000000000919;24500
500.0;500.0;500.0;0.0;0.4730917189535685;37.99874796295166;38.448919792175296;0.15500000000009378;25000
500.0;500.0;500.0;0.0;0.436272853059927;38.55058180999756;38.964928062438965;0.15410000000009566;25500
500.0;500.0;500.0;0.0;0.40808966106618755;39.32455568695068;39.710817268371585;0.15320000000009754;26000
500.0;500.0;500.0;0.0;0.43507962636533193;39.739320503234865;40.152537643432616;0.1523000000000994;26500
500.0;500.0;500.0;0.0;0.45341250991495324;40.35706060791016;40.788811225891116;0.1514000000001013;27000
500.0;500.0;500.0;0.0;0.4576132099605165;40.812377365112305;41.24767562103271;0.15050000000010316;27500
500.0;500.0;500.0;0.0;0.4137977413032204;41.48781029510498;41.880572723388674;0.14960000000010504;28000
326.5;500.0;153.0;173.5;0.4128936402464751;41.9667871017456;42.35862789154053;0.1487000000001069;28500
423.0;423.0;423.0;0.0;0.4417901431750506;42.4316244430542;42.8512562789917;0.1478000000001088;29000
323.5;452.0;195.0;128.5;0.4321168192299083;42.963530258178714;43.373530059814456;0.14690000000011066;29500
500.0;500.0;500.0;0.0;0.4202054163815919;43.51779956817627;43.91685092163086;0.14600000000011254;30000
500.0;500.0;500.0;0.0;0.42908321840688585;44.04990741729736;44.45519864654541;0.14510000000011442;30500
128.0;128.0;128.0;0.0;0.427373489665566;44.53320468902588;44.937780807495116;0.1442000000001163;31000
500.0;500.0;500.0;0.0;0.3695480801847298;45.06743500518799;45.41644962310791;0.14330000000011817;31500
500.0;500.0;500.0;0.0;0.3933320080367848;45.592109916687015;45.96426591491699;0.14240000000012004;32000
500.0;500.0;500.0;0.0;0.3869900990403257;46.049994651794435;46.41572521972656;0.14150000000012192;32500
500.0;500.0;500.0;0.0;0.36675886714132505;46.36737459564209;46.71253391265869;0.1406000000001238;33000
500.0;500.0;500.0;0.0;0.4177593924901448;46.853009559631346;47.247020500183105;0.13970000000012567;33500
500.0;500.0;500.0;0.0;0.3902913286508992;47.22805599975586;47.59673059844971;0.13880000000012754;34000
500.0;500.0;500.0;0.0;0.3818426444218494;47.70468439483643;48.06419264984131;0.13790000000012942;34500
500.0;500.0;500.0;0.0;0.3452310095934663;48.22800373840332;48.55089719390869;0.1370000000001313;35000
500.0;500.0;500.0;0.0;0.3667838811646216;48.63304674530029;48.97819046020508;0.13610000000013317;35500
500.0;500.0;500.0;0.0;0.3864618319491856;48.967791900634765;49.332882461547854;0.13520000000013505;36000
